_id,bathroom_num,bedroom_num,bizcircle_name,city,dist,distance,hall_num,house_tag,house_title,latitude,layout,longitude,m_url,rent_price_listing,rent_price_unit,rent_type,resblock_name,type
5c9f7173118dacbcd7cd6e47,1,1,双井,北京,朝阳,819,0,精装 集中供暖 随时看房,整租 ·  60平南向开间，免佣金，家电齐全干净拎包住，有钥匙,39.905624,1室0厅1卫,116.476546,https://m.lianjia.com/chuzu/bj/zufang/BJ2209418027710021632.html,7500,元/月,200600000001,苹果社区北区,整租
5c9f7e59118dacbcd7cdd9e9,1,3,长阳,北京,房山,696,1,近地铁 精装 集中供暖 随时看房,整租 · 长阳半岛4号院 3室1厅 5200元,39.765558,3室1厅1卫,116.213828,https://m.lianjia.com/chuzu/bj/zufang/BJ2208704406420471808.html,5200,元/月,200600000001,长阳半岛4号院,整租
5c9f7797118dacbcd7cda455,2,3,门头沟其它,北京,门头沟,,1,精装 集中供暖 双卫生间,整租 ·  梧桐苑简装大三居 业主诚意出租 看房方便,39.903963,3室1厅2卫,116.147569,https://m.lianjia.com/chuzu/bj/zufang/BJ2214342817331806208.html,5800,元/月,200600000001,梧桐苑知秋园,整租
5c9f7333118dacbcd7cd7e7c,1,2,甘家口,北京,海淀,403,1,近地铁 精装 集中供暖,整租 ·   五矿家属楼，精装两居室，拎包可入住。,39.940908,2室1厅1卫,116.3364,https://m.lianjia.com/chuzu/bj/zufang/BJ2196379490027053056.html,7500,元/月,200600000001,三里河路5号院,整租
5c9f6b73118dacbcd7cd391d,0,1,东四,北京,东城,109,0,近地铁,东四十一条 1室0厅 2300元,39.940483,1室0厅0卫,116.429248,https://m.lianjia.com/chuzu/bj/zufang/BJ2151288351893241856.html,2300,元/月,200600000000,东四十一条,整租
5c9f6dd4118dacbcd7cd4e5b,1,1,奥林匹克公园,北京,昌平,697,1,近地铁 随时看房,上元君庭 1室1厅 7000元,40.031546,1室1厅1卫,116.419162,https://m.lianjia.com/chuzu/bj/zufang/BJ2211624030581301248.html,7000,元/月,200600000000,上元君庭,整租
5c9f7f56118dacbcd7cde2a1,1,2,石门营,北京,门头沟,885,1,近地铁 新上 随时看房,云泽嘉苑 2室1厅 2900元,39.896688,2室1厅1卫,116.121677,https://m.lianjia.com/chuzu/bj/zufang/BJ2223084475208695808.html,2900,元/月,200600000000,云泽嘉苑,整租
5c9f7019118dacbcd7cd623e,2,3,欢乐谷,北京,朝阳,241,2,近地铁 精装 集中供暖 双卫生间 随时看房,整租 ·   欢乐谷华侨城精装修拎包入住随时可看,39.874885,3室2厅2卫,116.509448,https://m.lianjia.com/chuzu/bj/zufang/BJ2192581108711817216.html,14000,元/月,200600000001,北京华侨城1号院,整租
5c9f7e00118dacbcd7cdd6f3,1,2,顺义城,北京,顺义,1108,1,近地铁 集中供暖 随时看房,整租 · 西辛北区 2室1厅 3600元,40.144305,2室1厅1卫,116.649091,https://m.lianjia.com/chuzu/bj/zufang/BJ2194789333071314944.html,3600,元/月,200600000001,西辛北区,整租
5c9f7ec7118dacbcd7cdde02,1,2,良乡,北京,房山,,1,,整租 · 北潞芳家园 2室1厅 3200元,39.747177,2室1厅1卫,116.134128,https://m.lianjia.com/chuzu/bj/zufang/BJ2181093050070343680.html,3200,元/月,200600000001,北潞芳家园,整租
5c9f786a118dacbcd7cdabb2,4,5,潞苑,北京,通州,856,2,精装 集中供暖,整租 · 通州北关v7九间堂别墅出租 联排带院子,39.931934,5室2厅4卫,116.686698,https://m.lianjia.com/chuzu/bj/zufang/BJ1993411795242721280.html,28000,元/月,200600000001,V7九间堂,整租
5c9f741d118dacbcd7cd86a8,2,3,五棵松,北京,海淀,,2,集中供暖 新上 随时看房,泽丰苑二期 3室2厅 11000元,39.927799,3室2厅2卫,116.267177,https://m.lianjia.com/chuzu/bj/zufang/BJ2220925618537627648.html,11000,元/月,200600000000,泽丰苑二期,整租
5c9f7acb118dacbcd7cdc055,1,1,天通苑,北京,昌平,598,0,近地铁 精装 集中供暖 随时看房,整租 · 办公能注册，办公好房，随时可看,40.068301,1房间1卫,116.421128,https://m.lianjia.com/chuzu/bj/zufang/BJ2211314213274787840.html,5800,元/月,200600000001,龙德紫金,整租
5c9f7693118dacbcd7cd9b9b,1,1,宋家庄,北京,丰台,1075,1,近地铁 集中供暖 新上 随时看房,世纪星 1室1厅 5000元,39.863696,1室1厅1卫,116.441493,https://m.lianjia.com/chuzu/bj/zufang/BJ2221761373497999360.html,5000,元/月,200600000000,世纪星,整租
5c9f6e4d118dacbcd7cd52f7,1,1,百子湾,北京,朝阳,479,1,近地铁 精装 集中供暖 随时看房,整租 · 美利山  东西通透大一居室  拎包入住,39.904464,1室1厅1卫,116.511545,https://m.lianjia.com/chuzu/bj/zufang/BJ2208469517855113216.html,7300,元/月,200600000001,美利山,整租
5c9f7da2118dacbcd7cdd379,3,3,后沙峪,北京,顺义,,2,精装 集中供暖 随时看房,整租 · 万科城市花园 3室2厅 16000元,40.110054,3室2厅3卫,116.560168,https://m.lianjia.com/chuzu/bj/zufang/BJ2102736306445754368.html,16000,元/月,200600000001,万科城市花园,整租
