,comments
248,凡哥对不起
249,这面 真香
250,凡哥我错了
251,今天的我来了
252,周三下午
253,51对不起
254,各位好汉，吃面了
255,为了个评论，我费了好大劲考试
256,凡哥对不起
257,散了吧！
258,挂无暇
259,开个小玩笑
260,没人能够把你定义
261,笑傲江湖，只身闯江湖
262,吴亦凡我错了
263,1.25 真心推介
264,b站名场面
265,1。25出不去了
266,1.25
267,1.25是真的还不错
268,凡哥对不起
269,快八百万播放了！凡哥牛
270,想知道这是不是b站最快破五百万的？
271,凡哥真男人
272,对不起，我错了orz
273,前方核能！！！！！
274,你看这个面它又长又宽，就像这个碗它又大又圆
275,1.25能听
276,你看这个面它又长又宽，就像这个碗它又大又圆
277,路人感觉吴亦凡真棒！！！
278,你看这个面它又长又宽，就像这个碗它又大又圆
279,你看这个面它又长又宽，就像这个碗它又大又圆
280,你看这个面它又长又宽，就像这个碗它又大又圆
281,你看这个面它又长又宽，就像这个碗它又大又圆
282,这歌真的上头
283,你看这个面它又长又宽，就像这个碗它又大又圆
284,你看这个面它又长又宽，就像这个碗它又大又圆
285,真男人啊
286,凡哥对不起
287,你看这个面它又长又宽，就像这个碗它又大又圆
288,灵魂注入
289,你看这个面它又长又宽，就像这个碗它又大又圆
290,你看这个面它又长又宽，就像这个碗它又大又圆
291,你看这个面它又长又宽，就像这个碗它又大又圆
292,你看这个面它又长又宽，就像这个碗它又大又圆
293,你看这个面它又长又宽，就像这个碗它又大又圆
294,你看这个面它又长又宽，就像这个碗它又大又圆
295,你看这个面它又长又宽，就像这个碗它又大又圆
296,你看这个面它又长又宽，就像这个碗它又大又圆
297,你看这个面它又长又宽，就像这个碗它又大又圆
298,你看这个面它又长又宽，就像这个碗它又大又圆
299,你看这个面它又长又宽，就像这个碗它又大又圆
300,凡哥对不起，我错了！
301,你看这个面它又长又宽，就像这个碗它又大又圆
302,6666666666666
303,你看这个面它又长又宽，就像这个碗它又大又圆
304,你看这个面它又长又宽，就像这个碗它又大又圆
305,你看这个面它又长又宽，就像这个碗它又大又圆
306,6666单纯对播放量感到惊讶
307,66666666666666
308,这也太快了帕
309,八百万助攻
310,你看这个面它又长又宽，就像这个碗它又大又圆
311,八百万了要
312,起来吃面
313,你看这个面它又长又宽，就像这个碗它又大又圆
314,你看这个面它又长又宽，就像这个碗它又大又圆
315,你看这个面它又长又宽，就像这个碗它又大又圆
316,你看这个面它又长又宽，就像这个碗它又大又圆
317,你看这个面它又长又宽，就像这个碗它又大又圆
318,你看这个面它又长又宽，就像这个碗它又大又圆
319,你看这个面它又长又宽，就像这个碗它又大又圆
320,爱你老公
321,你看这个面它又长又宽，就像这个碗它又大又圆
322,你看这个面它又长又宽，就像这个碗它又大又圆
323,6666666
324,这个度量，666666
325,镇站神曲
326,吴亦凡进来吃面
327,来看看镇站神曲的神奇力量
328,上头
329,1.5倍超爽
330,吴亦凡对不起
331,吴亦凡从此我男神
332,对不起
333,凡哥对不起
334,好听
335,何必针锋相对
336,何必针锋相对
337,何必针锋相对
338,何必针锋相对
339,你看这个面它又长又宽，就像这个碗它又大又圆。
340,凡哥对不起
341,66666
342,再来亿遍
343,1.25品如的衣服
344,36赞
345,电音王子
346,凡哥对不起。
347,你看这个面它又长又宽，就像这个碗它又大又圆
348,你看这个面它又长又宽，就像这个碗它又大又圆
349,你看这个面它又长又宽，就像这个碗它又大又圆
350,你看这个面它又长又宽，就像这个碗它又大又圆
351,你看这个面它又长又宽，就像这个碗它又大又圆
352,凡哥对不起
353,你看这个面它又长又宽，就像这个碗它又大又圆
354,你看这个面它又长又宽，就像这个碗它又大又圆
355,你看这个面它又长又宽，就像这个碗它又大又圆
356,你看这个面它又长又宽，就像这个碗它又大又圆
357,你看这个面它又长又宽，就像这个碗它又大又圆
358,吴亦凡对不起
359,凡哥对不起
360,再来亿遍
361,开不了弹幕？
362,吴亦凡对不起
363,蛮不错啊
364,又来了  走不了了
365,你看这个面它又长又宽，就像这个碗它又大又圆。你看这个面它又长又宽，就像这个碗它又大又圆。
366,你看这个面它又长又宽，就像这个碗它又大又圆。
367,你看这个面它又长又宽，就像这个碗它又大又圆
368,你看这个面它又长又宽，就像这个碗它又大又圆。你看这个面它又长又宽，就像这个碗它又大又圆。你看这个面它又长又宽，就像这个碗它又大又圆。
369,每日三刷
370,你看这个面它又长又宽，就像这个碗它又大又圆
371,你看这个面它又长又宽，就像这个碗它又大又圆。你看这个面它又长又宽，就像这个碗它又大又圆。
372,你看这个面它又长又宽，就像这个碗它又大又圆
373,你看这个面它又长又宽，就像这个碗它又大又圆
374,你看这个面它又长又宽，就像这个碗它又大又圆
375,越听越好听怎么办
